ID,TITLE,NAME,ORIG_NAME,AUTHOR,DESCRIPTION,RATING,STATUS,DOC_TYPE,FILE_SIZE,ORIGINAL_PATH,FILE_CREATION_TIME,FILE_LAST_WRITE_TIME,CREATED_BY,CREATED_ON,OCR,TAG,TAG1,TAG2,TAG3,TAG4,TAG5
"CA-AE-5D-56-6C-67-56-78-23-89-CF-CD-63-B8-F3-70-D8-3C-F0-64","Genome","riddlea.g.genome.mobi","RiddleA.G.Genome.mobi","a. g. riddle","","1","PENDING",".mobi","1324062","D:\AlexLibrary_v1\FinalLibrary\a. g. riddle","01/25/2022","11/18/2021","a. g. riddle","11/23/2022","","Fiction","A. G. Riddle","","","9.78E+12",""
"C6-50-3A-94-A8-D3-FA-04-3C-3D-80-7E-4C-65-42-81-43-FB-CC-9A","Pandemic","riddlea.g.pandemic.mobi","RiddleA.G.Pandemic.mobi","a. g. riddle","","1","PENDING",".mobi","1125937","D:\AlexLibrary_v1\FinalLibrary\a. g. riddle","01/25/2022","11/18/2021","a. g. riddle","11/23/2022","","Fiction","A. G. Riddle","","6/8/2019 0:00","9.78E+12",""
"9B-C4-08-F9-8D-BC-D2-53-C1-39-24-24-42-39-73-36-AA-2E-81-1C","History and Geography in Late Antiquity","history_geography_late_antiquity.pdf","History_Geography_Late_Antiquity.pdf","a. h. merrills","","1","PENDING",".pdf","3059140","D:\AlexLibrary_v1\FinalLibrary\a. h. merrills","01/25/2022","11/18/2021","a. h. merrills","11/23/2022","","History","A. H. Merrills","Cambridge University Press","8/11/2005 0:00","9.78E+12",""
"65-E7-09-61-BA-E3-9F-97-03-68-7A-FE-7C-1D-A4-FC-2A-F9-7B-68","The Court and Court Society in Ancient Monarchies","the_court_and_court_society_in_ancient_monarchies.pdf","The_Court_and_Court_Society_in_Ancient_Monarchies.pdf","a. j . s . spawforth","","1","PENDING",".pdf","4517610","D:\AlexLibrary_v1\FinalLibrary\a. j . s . spawforth","01/25/2022","11/18/2021","a. j . s . spawforth","11/23/2022","","History","a. j . s . Spawforth","Cambridge","","9.78E+12",""
"24-C0-B3-16-26-F5-9C-2B-7F-EB-E6-24-52-3A-55-7D-DE-01-18-F0","In the Name of the King","a_l_in_the_name_of_the_kingbookfi.org.mobi","A_L_In_the_Name_of_the_KingBookFi.org.mobi","a. l. berridge","","1","PENDING",".mobi","1526484","D:\AlexLibrary_v1\FinalLibrary\a. l. berridge","01/25/2022","11/18/2021","a. l. berridge","11/23/2022","","Fiction","A. L. BERRIDGE","","","9.78E+12",""
"3E-1A-68-E2-E8-1E-FF-13-AA-7E-39-AB-79-C8-B4-84-0F-1B-E5-EB","THE NEW PANORAMA OF ANIMAL EVOLUTION","animal_evolution.pdf","Animal_Evolution.pdf","a. legakis","","1","PENDING",".pdf","15273571","D:\AlexLibrary_v1\FinalLibrary\a. legakis","01/25/2022","11/18/2021","a. legakis","11/23/2022","","Social Science","A. Legakis; S. Sfenthourakis","Texas A&M University Press","6/30/1905 0:00","9.79E+12",""
"C6-79-F7-1B-05-12-33-80-33-3E-DE-78-C5-C9-A8-1C-6C-33-C7-DC","Damage","a_m_jenkins_damage_retail_epub.mobi","A_M_Jenkins_Damage_retail_epub.mobi","a. m. jenkins","","1","PENDING",".mobi","258284","D:\AlexLibrary_v1\FinalLibrary\a. m. jenkins","01/25/2022","11/18/2021","a. m. jenkins","11/23/2022","","Fiction","A. M. Jenkins","","","9.78E+12",""
"C4-6C-50-ED-C5-51-75-BE-AD-B5-DE-A7-38-BE-E1-8E-16-61-6F-D4","THE GUESTS OF HERCULES","the_guests_of_hercules_by_amwilliamson_and_cnwilliam.txt","The_Guests_Of_Hercules_by_AMWilliamson_and_CNWilliam.txt","a. m. williamson","","1","PENDING",".txt","913904","D:\AlexLibrary_v1\FinalLibrary\a. m. williamson","01/25/2022","11/18/2021","a. m. williamson","11/23/2022","N","Religion","A. M. WILLIAMSON","","","9.78E+12",""
"71-6B-20-06-E3-DE-3F-AC-51-5E-0D-48-16-D7-25-94-5B-BA-6A-5D","Civil War in Poland 1942-1948","civil_war_in_poland.pdf","Civil_War_in_Poland.pdf","a. prazmowska","","1","PENDING",".pdf","909851","D:\AlexLibrary_v1\FinalLibrary\a. prazmowska","01/25/2022","11/18/2021","a. prazmowska","11/23/2022","","History","A. Prazmowska","Springer","7/29/2004 0:00","9.78E+12",""
"4D-74-D4-0A-6D-F9-CC-06-07-B9-BF-4C-C7-89-84-D6-19-A9-D1-A1","A History of Portugal and the Portuguese Empire vol1","history_of_portuga1.pdf","History_of_Portuga1.pdf","a. r. disney","","1","PENDING",".pdf","3411011","D:\AlexLibrary_v1\FinalLibrary\a. r. disney","01/25/2022","11/18/2021","a. r. disney","11/23/2022","","History","A. R. Disney","Cambridge","","9.78E+12",""
"F3-48-50-49-E4-DE-B0-2F-4C-11-45-9F-0E-21-67-A3-AB-B3-30-01","A History of Portugal and the Portuguese Empire vol2","history_of_portugal2.pdf","History_of_Portugal2.pdf","a. r. disney","","1","PENDING",".pdf","4953084","D:\AlexLibrary_v1\FinalLibrary\a. r. disney","01/25/2022","11/18/2021","a. r. disney","11/23/2022","","History","A. R. Disney","Cambridge","","9.78E+12",""
"49-90-03-72-35-04-B6-6C-32-77-D0-2B-44-7B-50-40-E7-80-E1-88","Kulikov battle","kulikobskaya_bitva.pdf","Kulikobskaya_bitva.pdf","a. scherbakov","","1","PENDING",".pdf","31200042","D:\AlexLibrary_v1\FinalLibrary\a. scherbakov","01/25/2022","11/18/2021","a. scherbakov","11/23/2022","","History","A. Scherbakov","russian","","9.79E+12",""
"75-D4-11-5C-C9-E8-7E-0C-A7-1B-F3-F7-D4-43-66-45-15-43-2F-C7","Conservation of Wood Artifacts","conservationofwoodartifacts.pdf","ConservationofWoodArtifacts.pdf","a. unger","","1","PENDING",".pdf","10397511","D:\AlexLibrary_v1\FinalLibrary\a. unger","01/25/2022","11/18/2021","a. unger","11/23/2022","","wood","A. Unger","Falk Art Reference","","9.78E+12",""
"BB-BB-F7-D3-D3-D6-3F-3A-95-0F-DC-B1-15-19-34-9D-11-0E-F3-F5","THE BARBARIAN","barbarian_the.txt","Barbarian_The.txt","a.e. van vogt","","1","PENDING",".txt","84851","D:\AlexLibrary_v1\FinalLibrary\a.e. van vogt","01/25/2022","11/18/2021","a.e. van vogt","11/23/2022","","Sci Fi","A.E. Van Vogt","","","9.78E+12",""
"09-EF-5B-D6-DE-C6-15-C7-5A-0E-FD-C4-9E-44-5A-CC-3B-59-D6-47","ERSATZ ETERNAL","ersatz_eternal.txt","Ersatz_Eternal.txt","a.e. van vogt","","1","PENDING",".txt","9531","D:\AlexLibrary_v1\FinalLibrary\a.e. van vogt","01/25/2022","11/18/2021","a.e. van vogt","11/23/2022","","Fiction","A.E. Van Vogt","","","9.78E+12",""
"7E-81-69-2A-55-4A-5B-EA-F8-A8-AA-9A-E5-A7-B5-10-11-9B-37-EF","THE RAT AND THE SNAKE","rat_and_the_snake_the.txt","Rat_and_the_Snake_The.txt","a.e. van vogt","","1","PENDING",".txt","6458","D:\AlexLibrary_v1\FinalLibrary\a.e. van vogt","01/25/2022","11/18/2021","a.e. van vogt","11/23/2022","","Sci Fi","A.E. Van Vogt","","","9.78E+12",""
"06-7B-0E-46-C7-B4-9F-EB-E4-C8-4A-11-B8-02-AC-EC-13-33-CA-71","RESURRECTION","resurrection.txt","Resurrection.txt","a.e. van vogt","","1","PENDING",".txt","38149","D:\AlexLibrary_v1\FinalLibrary\a.e. van vogt","01/25/2022","11/18/2021","a.e. van vogt","11/23/2022","","Fiction","A.E. Van Vogt","","","9.78E+12",""
"91-0A-CA-1F-0D-04-1B-B3-EC-4C-D9-52-1A-4D-26-AE-42-6E-1C-77","Babilonians and Assyrians life and customs","babylonians_&_assyrians_life_and_customs.pdf","Babylonians_&_Assyrians_life_and_customs.pdf","a.h. sayce","","1","PENDING",".pdf","1256316","D:\AlexLibrary_v1\FinalLibrary\a.h. sayce","01/25/2022","11/18/2021","a.h. sayce","11/23/2022","","History","A.H. Sayce","","","9.78E+12",""
"D8-A3-8C-AD-87-C1-DF-7C-7D-6E-AD-6D-C0-1F-FF-F3-78-31-A5-65","Learn Data Analysis with Python","learndataanalysiswithpython.pdf","LearnDataAnalysiswithPython.pdf","a.j. henley","","1","PENDING",".pdf","1828985","D:\AlexLibrary_v1\FinalLibrary\a.j. henley","01/25/2022","11/18/2021","a.j. henley","11/23/2022","","Computers","A.J. Henley","","","9.78E+12",""
"18-34-C7-2B-6E-DD-A1-78-F2-20-02-3A-20-A1-E8-D8-BC-5C-61-5F","THE WONDER THAT WAS INDIA","basham_the_wonder_that_was_india.pdf","basham_the_wonder_that_was_india.pdf","a.l. basham","","1","PENDING",".pdf","17887079","D:\AlexLibrary_v1\FinalLibrary\a.l. basham","01/25/2022","11/18/2021","a.l. basham","11/23/2022","","History","A.L. BASHAM","","","9.78E+12",""
"9B-8F-1A-E7-4D-83-83-D3-85-B4-02-20-72-F1-F9-B8-74-07-5C-79","Saladin","ar_azzam_saladin.pdf","AR_Azzam_Saladin.pdf","a.r. azzam","","1","PENDING",".pdf","10715182","D:\AlexLibrary_v1\FinalLibrary\a.r. azzam","01/25/2022","11/18/2021","a.r. azzam","11/23/2022","","Bio","A.R. Azzam","","","9.78E+12",""
"5E-3C-B9-6C-5E-EB-A9-37-50-07-43-2C-D5-C8-9F-3D-2D-A8-2D-25","Ragnarok The end of the gods","ragnarok_the_end_of_the_gods.mobi","Ragnarok_The_End_of_the_Gods.mobi","a.s byatt","","1","PENDING",".mobi","703164","D:\AlexLibrary_v1\FinalLibrary\a.s byatt","01/25/2022","11/18/2021","a.s byatt","11/23/2022","","Fiction","A.S Byatt","","2/7/2012 0:00","9.78E+12",""
"B3-BD-ED-AB-29-BB-8D-01-63-9A-9B-07-4D-6A-64-8B-3A-0D-5E-12","Core Data by Tutorials Fifth Edition","core_data_by_tutorials_5th_edition.pdf","Core_Data_by_Tutorials_5th_Edition.pdf","aaron douglas","","1","PENDING",".pdf","42581422","D:\AlexLibrary_v1\FinalLibrary\aaron douglas","01/25/2022","11/18/2021","aaron douglas","11/23/2022","","Computers","Aaron Douglas","","","9.78E+12",""
"7C-CF-33-A9-77-4B-2D-83-0D-60-A0-3B-0C-D5-D4-AB-FE-21-8D-C4","Fellowship of Fear","aaron_elkins_gideon_oliver_01_fellowship_of_fear_epub.mobi","Aaron_Elkins_Gideon_Oliver_01_Fellowship_of_Fear_epub.mobi","aaron elkins","","1","PENDING",".mobi","339528","D:\AlexLibrary_v1\FinalLibrary\aaron elkins","01/25/2022","11/18/2021","aaron elkins","11/23/2022","","Fiction","Aaron Elkins","Open Road Media","4/1/2014 0:00","9.78E+12",""
"6A-3F-14-CA-5D-80-54-58-43-3A-2B-98-FD-2D-92-07-F3-B2-D0-57","The Dark Place","aaron_elkins_gideon_oliver_02_the_dark_place_epub.mobi","Aaron_Elkins_Gideon_Oliver_02_The_Dark_Place_epub.mobi","aaron elkins","","1","PENDING",".mobi","337288","D:\AlexLibrary_v1\FinalLibrary\aaron elkins","01/25/2022","11/18/2021","aaron elkins","11/23/2022","","Fiction","Aaron Elkins","","4/1/2014 0:00","9.78E+12",""
"36-06-97-B1-6E-1E-AC-99-B5-CE-73-E5-AC-E9-DA-65-71-8A-C9-0C","Murder in the QueenÃ¢â‚¬â„¢s Armes","aaron_elkins_gideon_oliver_03_murder_in_the_queen's_armes_epub.mobi","Aaron_Elkins_Gideon_Oliver_03_Murder_in_the_Queen's_Armes_epub.mobi","aaron elkins","","1","PENDING",".mobi","345518","D:\AlexLibrary_v1\FinalLibrary\aaron elkins","01/25/2022","11/18/2021","aaron elkins","11/23/2022","","Fiction","Aaron Elkins","","","9.78E+12",""
"FD-F4-81-C3-EA-AB-AD-8A-5B-89-0B-90-5A-81-E4-0B-50-DF-4B-F2","Old bones","aaron_elkins_gideon_oliver_04_old_bones_epub.mobi","Aaron_Elkins_Gideon_Oliver_04_Old_Bones_epub.mobi","aaron elkins","","1","PENDING",".mobi","356072","D:\AlexLibrary_v1\FinalLibrary\aaron elkins","01/25/2022","11/18/2021","aaron elkins","11/23/2022","","Fiction","Aaron Elkins","","","9.78E+12",""
"06-25-FF-B8-D8-FD-B7-1C-87-58-76-D7-F5-D8-9C-54-E9-F6-32-FB","Curses!","aaron_elkins_gideon_oliver_05_curses!_epub.mobi","Aaron_Elkins_Gideon_Oliver_05_Curses!_epub.mobi","aaron elkins","","1","PENDING",".mobi","311896","D:\AlexLibrary_v1\FinalLibrary\aaron elkins","01/25/2022","11/18/2021","aaron elkins","11/23/2022","","Fiction","Aaron Elkins","","","9.80E+12",""
"88-3C-C0-DC-B9-B6-A6-04-F8-8C-7F-BB-93-07-C0-94-55-F9-37-8A","Icy clutches","aaron_elkins_gideon_oliver_06_icy_clutches_epub.mobi","Aaron_Elkins_Gideon_Oliver_06_Icy_Clutches_epub.mobi","aaron elkins","","1","PENDING",".mobi","356638","D:\AlexLibrary_v1\FinalLibrary\aaron elkins","01/25/2022","11/18/2021","aaron elkins","11/23/2022","","Fiction","Aaron Elkins","","","9.78E+12",""
"38-CD-B8-C6-FB-81-4F-38-7E-23-2C-C7-16-ED-C1-CD-8B-E7-07-5E","Make no bones","aaron_elkins_gideon_oliver_07_make_no_bones_epub.mobi","Aaron_Elkins_Gideon_Oliver_07_Make_No_Bones_epub.mobi","aaron elkins","","1","PENDING",".mobi","318714","D:\AlexLibrary_v1\FinalLibrary\aaron elkins","01/25/2022","11/18/2021","aaron elkins","11/23/2022","","Fiction","Aaron Elkins","","","9.78E+12",""
"09-56-A5-4C-4D-FC-F7-67-79-FA-FB-67-F3-29-A1-CC-5F-2F-85-7B","Twenty blue devils","aaron_elkins_gideon_oliver_09_twenty_blue_devils_epub.mobi","Aaron_Elkins_Gideon_Oliver_09_Twenty_Blue_Devils_epub.mobi","aaron elkins","","1","PENDING",".mobi","360131","D:\AlexLibrary_v1\FinalLibrary\aaron elkins","01/25/2022","11/18/2021","aaron elkins","11/23/2022","","Fiction","Aaron Elkins","","","9.78E+12",""
"60-BB-C8-9F-20-19-D8-9D-4B-4C-92-81-DB-6F-C8-92-E7-32-58-53","Skeleton Dance","aaron_elkins_gideon_oliver_10_skeleton_dance_epub.mobi","Aaron_Elkins_Gideon_Oliver_10_Skeleton_Dance_epub.mobi","aaron elkins","","1","PENDING",".mobi","361300","D:\AlexLibrary_v1\FinalLibrary\aaron elkins","01/25/2022","11/18/2021","aaron elkins","11/23/2022","","Fiction","Aaron Elkins","","4/1/2014 0:00","9.78E+12",""
"74-80-AB-3F-6C-31-F3-65-AF-DB-D0-98-80-1E-65-D4-A8-67-DF-2A","Good Blood","aaron_elkins_gideon_oliver_11_good_blood_epub.mobi","Aaron_Elkins_Gideon_Oliver_11_Good_Blood_epub.mobi","aaron elkins","","1","PENDING",".mobi","376352","D:\AlexLibrary_v1\FinalLibrary\aaron elkins","01/25/2022","11/18/2021","aaron elkins","11/23/2022","","Fiction","Aaron Elkins","","2/1/2005 0:00","9.78E+12",""
"86-7D-D6-AC-E7-F6-6A-AB-09-40-A1-14-76-50-74-EE-C4-7B-AF-C7","Where There's a Will","aaron_elkins_gideon_oliver_12_where_there's_a_will_epub.mobi","Aaron_Elkins_Gideon_Oliver_12_Where_There's_a_Will_epub.mobi","aaron elkins","","1","PENDING",".mobi","363038","D:\AlexLibrary_v1\FinalLibrary\aaron elkins","01/25/2022","11/18/2021","aaron elkins","11/23/2022","","Fiction","Aaron Elkins","","2/7/2006 0:00","9.78E+12",""
"F9-5C-3A-13-A8-6D-C0-85-56-F2-1D-67-68-7A-B2-70-CC-65-74-A6","Unnatural Selection","aaron_elkins_gideon_oliver_13_unnatural_selection_epub.mobi","Aaron_Elkins_Gideon_Oliver_13_Unnatural_Selection_epub.mobi","aaron elkins","","1","PENDING",".mobi","355815","D:\AlexLibrary_v1\FinalLibrary\aaron elkins","01/25/2022","11/18/2021","aaron elkins","11/23/2022","","Fiction","Aaron Elkins","","7/1/2007 0:00","9.78E+12",""
"31-1B-65-33-CA-E1-0F-55-8B-1F-C5-C2-2C-64-DE-4B-03-56-2C-FB","LITTLE TINY TEETH","aaron_elkins_gideon_oliver_14_little_tiny_teeth_epub.mobi","Aaron_Elkins_Gideon_Oliver_14_Little_Tiny_Teeth_epub.mobi","aaron elkins","","1","PENDING",".mobi","352381","D:\AlexLibrary_v1\FinalLibrary\aaron elkins","01/25/2022","11/18/2021","aaron elkins","11/23/2022","","Business & Economics","Aaron Elkins","","","9.78E+12",""
"87-1A-82-34-A9-0F-8F-AD-9E-9C-6D-2C-0E-79-22-19-87-E7-A8-5A","Mastering Wireless Penetration Testing for Highly Secured Environments Scan, exploit, and crack wireless networks by using the most advanced techniques from security professionals","masteringwirelesspenetrationtestingforhighly-securedenvironments.pdf","MasteringWirelessPenetrationTestingforHighly-SecuredEnvironments.pdf","aaron johns","","1","PENDING",".pdf","15071931","D:\AlexLibrary_v1\FinalLibrary\aaron johns","01/25/2022","11/18/2021","aaron johns","11/23/2022","","Computers","Aaron Johns","","","9.78E+12",""
"E0-B0-B6-77-3F-14-6D-DF-BD-49-71-15-4C-A4-8C-8B-C7-84-92-45","Stargate Atlantis Hunt and run ","hunt_and_run.mobi","Hunt_and_Run.mobi","aaron rosenberg","","1","PENDING",".mobi","406694","D:\AlexLibrary_v1\FinalLibrary\aaron rosenberg","01/25/2022","11/18/2021","aaron rosenberg","11/23/2022","","Fiction","Aaron Rosenberg","","","9.78E+12",""
"C3-AD-61-D1-8C-E3-72-CF-32-81-05-E8-F4-2D-8F-71-5A-20-C2-DE","The Fallen Too Far Trilogy","fallen_too_far.mobi","Fallen_Too_Far.mobi","abbi glines","","1","PENDING",".mobi","423464","D:\AlexLibrary_v1\FinalLibrary\abbi glines","01/25/2022","11/18/2021","abbi glines","11/23/2022","","Fiction","Abbi Glines","","2/6/2014 0:00","9.78E+12",""
"2B-20-02-14-52-A5-B0-A6-C6-5A-37-17-A6-A0-DD-9D-F8-AF-E5-12","Never Too Far","never_too_far.mobi","Never_Too_Far.mobi","abbi glines","","1","PENDING",".mobi","302276","D:\AlexLibrary_v1\FinalLibrary\abbi glines","01/25/2022","11/18/2021","abbi glines","11/23/2022","","Fiction","Abbi Glines","","3/7/2013 0:00","9.78E+12",""
"A3-D9-60-DE-60-20-3C-B9-D4-70-24-E4-7C-E8-3E-3C-FA-6D-0A-68","ARMIES IN EAST AFRICA","379_armiesineastafrica191418.pdf","379_ArmiesInEastAfrica191418.pdf","abbot","","1","PENDING",".pdf","12707023","D:\AlexLibrary_v1\FinalLibrary\abbot","01/25/2022","11/18/2021","abbot","11/23/2022","","History","Abbot","Osprey Publishing","","9.78E+12",""
"B3-D8-3F-A0-9E-99-83-4C-FE-2C-FC-29-69-F3-B8-23-C6-CD-12-07","PHYSIOLOGUS","physiologus.ametricalbestiaryoftwelvechaptersby.pdf","Physiologus.AMetricalBestiaryofTwelveChaptersby.pdf","abbot of monte cassino","","1","PENDING",".pdf","4296311","D:\AlexLibrary_v1\FinalLibrary\abbot of monte cassino","01/25/2022","11/18/2021","abbot of monte cassino","11/23/2022","","History","ABBOT OF MONTE CASSINO","","","9.79E+12",""
"2A-AC-52-B3-8A-A4-CD-B2-C6-A2-93-2D-1F-FD-68-C7-4D-E3-0B-4A","The Cloud DBA-Oracle Managing Oracle Database in the Cloud First Edition","2017_the_cloud_dba-oracle.pdf","2017_The_Cloud_DBA-Oracle.pdf","abhinivesh jain","","1","PENDING",".pdf","20521025","D:\AlexLibrary_v1\FinalLibrary\abhinivesh jain","01/25/2022","11/18/2021","abhinivesh jain","11/23/2022","","Computers","Abhinivesh Jain","","","9.78E+12",""
"75-20-74-0B-A6-64-FC-BB-2D-9D-8A-C9-6A-7C-C5-D0-28-51-3A-E9","","reinforcement learning _ with open ai, tensorflow and keras using python.pdf","reinforcement learning _ with open ai, tensorflow and keras using python.pdf","abhishek nandy","","1","PENDING",".pdf","11545739","D:\AlexLibrary_v1\FinalLibrary\abhishek nandy","07/12/2022","07/05/2022","abhishek nandy","11/23/2022","","","","","","",""
"39-0F-64-C1-C8-DE-50-BB-28-DF-E7-81-35-71-E1-29-CA-45-6A-3A","Reinforcement Learning With Open AI, TensorFlow and Keras Using Python","reinforcement_learning.pdf","Reinforcement_Learning.pdf","abhishek nandy","","1","PENDING",".pdf","11552978","D:\AlexLibrary_v1\FinalLibrary\abhishek nandy","01/25/2022","11/18/2021","abhishek nandy","11/23/2022","","Computers","Abhishek Nandy","","","9.78E+12",""
"29-50-31-28-2C-6A-E1-F5-42-E5-3F-53-E2-B9-A6-2F-70-85-F3-10","Building an Enterprise Chatbot Work with Protected Enterprise Data Using Open Source Frameworks","buildinganenterprisechatbot.pdf","BuildinganEnterpriseChatbot.pdf","abhishek singh","","1","PENDING",".pdf","6803998","D:\AlexLibrary_v1\FinalLibrary\abhishek singh","01/25/2022","11/18/2021","abhishek singh","11/23/2022","","Computers","Abhishek Singh;Karthik Ramasubramanian;Shrey Shivam","","","9.78E+12",""
"78-3D-0D-0B-26-50-27-D6-FC-65-05-49-72-07-C6-1D-F9-05-ED-AF","Building an Enterprise Chatbot Work with Protected Enterprise Data Using Open Source Frameworks","buildinganenterprisechatbot.mobi","BuildinganEnterpriseChatbot.mobi","abhishek singh","","1","PENDING",".mobi","7805827","D:\AlexLibrary_v1\FinalLibrary\abhishek singh","01/25/2022","11/18/2021","abhishek singh","11/23/2022","","Computers","Abhishek Singh;Karthik Ramasubramanian;Shrey Shivam","","","9.78E+12",""
"A3-5A-AE-FD-A1-7C-60-B1-28-7B-AF-E8-AA-AC-E8-48-91-78-B4-E3","THE IDEA OF THE CASTLE IN MEDIEVAL ENGLAND","the_idea_of_the_castle_in_medieval_england.pdf","The_Idea_Of_the_Castle_in_Medieval_England.pdf","abigail wheatley","","1","PENDING",".pdf","1150009","D:\AlexLibrary_v1\FinalLibrary\abigail wheatley","01/25/2022","11/18/2021","abigail wheatley","11/23/2022","","History","Abigail Wheatley","","","9.78E+12",""
"40-60-C7-5D-A0-C5-62-DE-85-30-ED-51-3A-75-57-04-C6-AA-56-F5","A Short History of Russia","russia_short_history.pdf","Russia_Short_History.pdf","abraham ascher","","1","PENDING",".pdf","1775114","D:\AlexLibrary_v1\FinalLibrary\abraham ascher","01/25/2022","11/18/2021","abraham ascher","11/23/2022","","History","ABRAHAM ASCHER","","","9.78E+12",""
